### Module positions - created on 2026-06-02 11:26
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 112.371mm, Pcb Width 88.338mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
L3            10uH                L_10.4x10.4_H4.8              135.0000   -88.6500   135.0000   -92.8000      9.0    top       SMD
C5            100nF               C_0805_2012Metric_Pad1.18x1.. 176.2500   -120.2500  175.2125   -120.2500     0.0    top       SMD
R16           330                 R_0805_2012Metric_Pad1.20x1.. 165.0000   -79.5000   166.0000   -79.5000     18.0    top       SMD
Q2            NMOS                SOT-23                        154.2125   -115.9000  155.1500   -116.8500    18.0    top       SMD
R24           30.9K               R_0805_2012Metric_Pad1.20x1.. 131.0000   -113.3000  131.0000   -114.3000     9.0    top       SMD
C1            100nF               C_0805_2012Metric_Pad1.18x1.. 178.5500   -115.5375  178.5500   -114.5000    -9.0    top       SMD
Q3            NPN                 SOT-23                        192.4375   -81.5000   193.3750   -82.4500     18.0    top       SMD
C8            22uF                C_0805_2012Metric_Pad1.18x1.. 150.2875   -77.7500   151.3250   -77.7500     18.0    top       SMD
C2            10uF                C_0805_2012Metric_Pad1.18x1.. 176.1500   -115.5375  176.1500   -114.5000    -9.0    top       SMD
R2            5.1K                R_0805_2012Metric_Pad1.20x1.. 137.7500   -65.2500   138.7500   -65.2500     18.0    top       SMD
Q1            NMOS                SOT-23                        156.2125   -119.1000  155.2750   -118.1500     0.0    top       SMD
C14           100uF               CP_EIA-3528-21_Kemet-B_Hand.. 192.0000   -89.0000   192.0000   -90.6275      9.0    top       SMD
L1            22uH                L_10.4x10.4_H4.8              161.7500   -127.7000  165.9000   -127.7000    18.0    top       SMD
U6            MP2307              SOIC-8-1EP_3.9x4.9mm_P1.27m.. 136.0500   -107.3200  137.9550   -104.8450    -9.0    top       SMD
J5            SIM_Card            nanoSIM_GCT_SIM8060-6-0-14-00 202.7500   -104.4000  195.9500   -107.5700     9.0    top       SMD
U4            LD1117S33TR_SOT223  SOT-223-3_TabPin2             151.2500   -83.7500   148.9500   -86.9000      9.0    top       SMD
R6            1K                  R_0805_2012Metric_Pad1.20x1.. 150.9500   -121.1000  150.9500   -120.1000    -9.0    top       SMD
J4            Conn_Coaxial        SMA_Amphenol_132289_EdgeMount 207.8700   -89.7200   207.8700   -89.7200      0.0    top       SMD
U2            TP5100              QFN65P400X400X90-17N          171.3125   -115.2500  170.3375   -117.1100     9.0    top       SMD
R7            1K                  R_0805_2012Metric_Pad1.20x1.. 172.2500   -122.7500  172.2500   -123.7500     9.0    top       SMD
U1            LD1117S50TR_SOT223  SOT-223-3_TabPin2             151.2500   -96.9000   148.9500   -100.0500     9.0    top       SMD
D4            D                   D_SMA_Handsoldering           172.7500   -128.2500  175.2500   -128.2500    18.0    top       SMD
U8            TXS0102DCT          SSOP-8_2.95x2.8mm_P0.65mm     180.8500   -71.3500   179.1500   -70.3750      0.0    top       SMD
C11           100nF               C_0805_2012Metric_Pad1.18x1.. 145.5000   -47.4625   145.5000   -46.4250     -9.0    top       SMD
C10           22uF                C_0805_2012Metric_Pad1.18x1.. 150.2875   -90.2500   151.3250   -90.2500     18.0    top       SMD
C23           10uF/25V            CP_Elec_6.3x5.4               137.0000   -98.5000   134.2000   -98.5000      0.0    top       SMD
C13           1uF                 C_0805_2012Metric_Pad1.18x1.. 124.5000   -40.5375   124.5000   -41.5750      9.0    top       SMD
D3            R                   LED_0805_2012Metric_Pad1.15.. 167.7500   -119.4750  167.7500   -118.4500    -9.0    top       SMD
C15           100nF               C_0805_2012Metric_Pad1.18x1.. 197.2500   -85.9625   197.2500   -87.0000      9.0    top       SMD
U10           MAX3485             SOIC-8_3.9x4.9mm_P1.27mm      180.1750   -54.7050   177.7000   -52.8000      0.0    top       SMD
C3            100nF               C_0805_2012Metric_Pad1.18x1.. 165.3400   -110.1000  165.3400   -111.1375     9.0    top       SMD
C6            10uF                C_0805_2012Metric_Pad1.18x1.. 176.2500   -123.7500  175.2125   -123.7500     0.0    top       SMD
R23           100K                R_0805_2012Metric_Pad1.20x1.. 138.0000   -113.9000  138.0000   -112.9000    -9.0    top       SMD
C25           12uF                C_0805_2012Metric_Pad1.18x1.. 135.0000   -80.8500   135.0000   -81.8875      9.0    top       SMD
SW2           SW_Push             SW_Push_1P1T_NO_CK_KSC6xxG    127.0000   -75.5000   129.0000   -71.0500     -9.0    top       SMD
J8            Micro_SD_Card       microSD_HC_Wuerth_693072010.. 201.9225   -56.7500   200.3725   -59.9500      9.0    top       SMD
C24           0.1uF               C_0805_2012Metric_Pad1.18x1.. 140.2000   -113.9000  140.2000   -114.9375     9.0    top       SMD
R14           10K                 R_0805_2012Metric_Pad1.20x1.. 191.9250   -61.8000   190.9250   -61.8000      0.0    top       SMD
R8            10K                 R_0805_2012Metric_Pad1.20x1.. 128.0000   -40.5000   128.0000   -39.5000     -9.0    top       SMD
C12           10uF                C_0805_2012Metric_Pad1.18x1.. 140.5000   -47.4250   140.5000   -46.3875     -9.0    top       SMD
D5            LED                 LED_0805_2012Metric_Pad1.15.. 160.5450   -84.5000   159.5200   -84.5000      0.0    top       SMD
R15           330                 R_0805_2012Metric_Pad1.20x1.. 165.0000   -84.5000   166.0000   -84.5000     18.0    top       SMD
D2            G                   LED_0805_2012Metric_Pad1.15.. 165.5500   -119.4750  165.5500   -118.4500    -9.0    top       SMD
C16           100nF               C_0805_2012Metric_Pad1.18x1.. 191.9625   -69.2500   190.9250   -69.2500      0.0    top       SMD
R28           6.8K                R_0805_2012Metric_Pad1.20x1.. 134.0000   -117.3000  133.0000   -117.3000     0.0    top       SMD
C7            22uF                C_0805_2012Metric_Pad1.18x1.. 154.6125   -90.2500   153.5750   -90.2500      0.0    top       SMD
R5            1K                  R_0805_2012Metric_Pad1.20x1.. 151.3500   -113.1000  150.3500   -113.1000     0.0    top       SMD
C9            22uF                C_0805_2012Metric_Pad1.18x1.. 154.6875   -103.3500  153.6500   -103.3500     0.0    top       SMD
R3            0.067               R_0805_2012Metric_Pad1.20x1.. 173.5500   -110.1000  174.5500   -110.1000    18.0    top       SMD
R12           10K                 R_0805_2012Metric_Pad1.20x1.. 191.9250   -66.7500   190.9250   -66.7500      0.0    top       SMD
J1            USB_C_Receptacle_.. USB_C_Receptacle_HRO_TYPE-C.. 127.0000   -62.5000   0.0000     0.0000       -9.0    top       SMD
R26           10K                 R_0805_2012Metric_Pad1.20x1.. 128.8000   -113.3000  128.8000   -112.3000    -9.0    top       SMD
D6            LED                 LED_0805_2012Metric_Pad1.15.. 160.5450   -79.5000   159.5200   -79.5000      0.0    top       SMD
J3            Conn_Coaxial        SMA_Amphenol_132289_EdgeMount 207.8300   -73.7700   207.8300   -73.7700      0.0    top       SMD
U5            ESP32-S3-WROOM-1    ESP32-S3-WROOM-1U             159.9544   -55.5900   151.2044   -47.1800      0.0    top       SMD
SW1           SW_Push             SW_Push_1P1T_NO_CK_KSC6xxG    127.0000   -50.2500   129.0000   -45.8000     -9.0    top       SMD
U3            HY2120              SOT-23-6_Handsoldering        147.9500   -117.3000  147.0000   -118.6500     9.0    top       SMD
R1            5.1K                R_0805_2012Metric_Pad1.20x1.. 137.7000   -59.9900   136.7000   -59.9900      0.0    top       SMD
C19           10nF                C_0805_2012Metric_Pad1.18x1.. 140.2000   -104.7000  140.2000   -103.6625    -9.0    top       SMD
R9            1K                  R_0805_2012Metric_Pad1.20x1.. 173.2500   -64.0000   173.2500   -63.0000     -9.0    top       SMD
R11           10                  R_0805_2012Metric_Pad1.20x1.. 184.7500   -45.7500   185.7500   -45.7500     18.0    top       SMD
C4            10uF                C_0805_2012Metric_Pad1.18x1.. 168.3500   -110.1000  168.3500   -111.1375     9.0    top       SMD
R10           10K                 R_0805_2012Metric_Pad1.20x1.. 184.5000   -103.0000  184.5000   -104.0000     9.0    top       SMD
R13           10K                 R_0805_2012Metric_Pad1.20x1.. 191.9250   -64.2500   190.9250   -64.2500      0.0    top       SMD
