"Reference","Qty","Value","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1,BT2","2","18650","","","Battery:BatteryHolder_Keystone_1042_1x18650",""
"C1","1","10uF/25V","","","Capacitor_SMD:CP_Elec_6.3x5.4",""
"C2","1","0.1uF","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C3","1","3.9nF","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C4","1","10nF","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C6,C10,C11,C16,C18,C21","6","100nF","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C7,C12,C13,C17","4","10uF","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C8,C9,C14,C15","4","22uF","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C19","1","1uF","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C20","1","100uF","","","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_HandSolder",""
"C22","1","12 uF","","","Capacitor_SMD:CP_Elec_6.3x5.7",""
"D1,D4","2","D","","","Diode_SMD:D_SMA_Handsoldering",""
"D2","1","G","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"D3","1","R","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"D5,D6","2","LED","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","Barrel_Jack_MountingPin","","","Connector_BarrelJack:BarrelJack_Horizontal",""
"J3","1","Micro_SD_Card","","","Connector_Card:microSD_HC_Wuerth_693072010801","https://www.we-online.com/components/products/datasheet/693072010801.pdf"
"J4","1","Screw_Terminal_01x04","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",""
